title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
Visage,Beneath,0.559,0.758,0,-7.784,1,0.0464,0.187,0.338,0.216,0.597,139.988,n,6MpDGvJ0QeRQ6S3Tf2SdPB,spotify:track:6MpDGvJ0QeRQ6S3Tf2SdPB,https://api.spotify.com/v1/tracks/6MpDGvJ0QeRQ6S3Tf2SdPB,https://api.spotify.com/v1/audio-analysis/6MpDGvJ0QeRQ6S3Tf2SdPB,171536,4,7
"The Departure (Speak, Pt. I)",Beneath,0.543,0.846,1,-7.291,0,0.062,0.125,0.0128,0.49,0.507,145.05,n,6RlLtWj2lSW6kHc2bzHzlj,spotify:track:6RlLtWj2lSW6kHc2bzHzlj,https://api.spotify.com/v1/tracks/6RlLtWj2lSW6kHc2bzHzlj,https://api.spotify.com/v1/audio-analysis/6RlLtWj2lSW6kHc2bzHzlj,254172,4,2
Poultice,Beneath,0.554,0.853,11,-8.063,1,0.046,0.13,0.893,0.136,0.786,129.946,n,1nnYsuezli4ZT3XuP0IMKY,spotify:track:1nnYsuezli4ZT3XuP0IMKY,https://api.spotify.com/v1/tracks/1nnYsuezli4ZT3XuP0IMKY,https://api.spotify.com/v1/audio-analysis/1nnYsuezli4ZT3XuP0IMKY,46500,4,8
Worst Eastern,Beneath,0.479,0.68,1,-8.354,1,0.032,0.0312,0.703,0.51,0.321,74.982,n,5TaU4hP5VkvZnSPUNJp1Gu,spotify:track:5TaU4hP5VkvZnSPUNJp1Gu,https://api.spotify.com/v1/tracks/5TaU4hP5VkvZnSPUNJp1Gu,https://api.spotify.com/v1/audio-analysis/5TaU4hP5VkvZnSPUNJp1Gu,163300,4,3
The Shining Youth,Beneath,0.664,0.824,4,-7.921,0,0.0531,0.169,0.826,0.0943,0.297,119.981,n,2SVzkKpXsQYOlFU2hdpAXg,spotify:track:2SVzkKpXsQYOlFU2hdpAXg,https://api.spotify.com/v1/tracks/2SVzkKpXsQYOlFU2hdpAXg,https://api.spotify.com/v1/audio-analysis/2SVzkKpXsQYOlFU2hdpAXg,246625,1,8
"Welcome Home (Speak, Pt. II)",Beneath,0.521,0.852,9,-5.789,1,0.0911,0.0157,0.0022,0.177,0.598,139.994,n,3DUS7J6bC3YQuTNmwKO70C,spotify:track:3DUS7J6bC3YQuTNmwKO70C,https://api.spotify.com/v1/tracks/3DUS7J6bC3YQuTNmwKO70C,https://api.spotify.com/v1/audio-analysis/3DUS7J6bC3YQuTNmwKO70C,212678,4,9
There Was Oposition on W. Montgomery - Screwed & Chopped,Pollie Pop,0.74,0.171,10,-13.346,1,0.108,0.691,0.926,0.11,0.314,62.005,n,0dJxMVXAGHocLKWuS9VOzs,spotify:track:0dJxMVXAGHocLKWuS9VOzs,https://api.spotify.com/v1/tracks/0dJxMVXAGHocLKWuS9VOzs,https://api.spotify.com/v1/audio-analysis/0dJxMVXAGHocLKWuS9VOzs,151227,4,5
Grapples on Veterans Memorial - Screwed & Chopped,Pollie Pop,0.872,0.71,5,-4.965,1,0.0455,0.26,0.756,0.204,0.788,112.257,n,40oVuLjyzei0sK9wvIRhf8,spotify:track:40oVuLjyzei0sK9wvIRhf8,https://api.spotify.com/v1/tracks/40oVuLjyzei0sK9wvIRhf8,https://api.spotify.com/v1/audio-analysis/40oVuLjyzei0sK9wvIRhf8,145519,4,8
Brawlin on Nalden - Screwed & Chopped,Pollie Pop,0.816,0.241,11,-13.7,0,0.174,0.693,0.713,0.0947,0.224,96.324,n,7CbSX21hGan6gEGy3hgNxZ,spotify:track:7CbSX21hGan6gEGy3hgNxZ,https://api.spotify.com/v1/tracks/7CbSX21hGan6gEGy3hgNxZ,https://api.spotify.com/v1/audio-analysis/7CbSX21hGan6gEGy3hgNxZ,148406,4,5
Showdown on Kirkwood - Screwed & Chopped,Pollie Pop,0.879,0.392,1,-7.083,1,0.402,0.00862,0.913,0.148,0.131,117.28,n,63LyCUG7UsO5sWN8832AQw,spotify:track:63LyCUG7UsO5sWN8832AQw,https://api.spotify.com/v1/tracks/63LyCUG7UsO5sWN8832AQw,https://api.spotify.com/v1/audio-analysis/63LyCUG7UsO5sWN8832AQw,159229,4,0
Disdain on Bow Lane - Screwed & Chopped,Pollie Pop,0.88,0.352,8,-11.744,1,0.0521,0.0612,0.841,0.128,0.372,118.975,n,331aZqyCcJsh7V7Sbx80Y1,spotify:track:331aZqyCcJsh7V7Sbx80Y1,https://api.spotify.com/v1/tracks/331aZqyCcJsh7V7Sbx80Y1,https://api.spotify.com/v1/audio-analysis/331aZqyCcJsh7V7Sbx80Y1,146996,4,8
Joust Match on Ella - Screwed & Chopped,Pollie Pop,0.786,0.409,4,-11.701,0,0.04,0.0192,0.651,0.117,0.18,142.383,n,2tHCzYy6Tmi27Qb8P2aUXA,spotify:track:2tHCzYy6Tmi27Qb8P2aUXA,https://api.spotify.com/v1/tracks/2tHCzYy6Tmi27Qb8P2aUXA,https://api.spotify.com/v1/audio-analysis/2tHCzYy6Tmi27Qb8P2aUXA,134483,4,8
Match Ups on N. Houston Roselyn - Screwed & Chopped,Pollie Pop,0.8,0.419,1,-11.157,1,0.0803,0.0214,0.885,0.144,0.149,129.87,n,4aphNJQsHx5feQTZE4zDRh,spotify:track:4aphNJQsHx5feQTZE4zDRh,https://api.spotify.com/v1/tracks/4aphNJQsHx5feQTZE4zDRh,https://api.spotify.com/v1/audio-analysis/4aphNJQsHx5feQTZE4zDRh,148795,4,8
Who's the Best on Wilcrest - Screwed & Chopped,Pollie Pop,0.885,0.516,1,-11.044,0,0.121,0.354,0.738,0.0488,0.448,127.333,n,6DeHCkPHAb1q1RlV1W6a35,spotify:track:6DeHCkPHAb1q1RlV1W6a35,https://api.spotify.com/v1/tracks/6DeHCkPHAb1q1RlV1W6a35,https://api.spotify.com/v1/audio-analysis/6DeHCkPHAb1q1RlV1W6a35,123829,4,8
